Date,Close,High,Low,Open,Volume,Ticker,MA7,MA30,MA90,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Daily_Return,Volatility,Price_Range,Volume_Change,Close_Diff1
2025-06-30,107135.3359375,108798.7890625,106759.6484375,108383.4375,42064804590,BTC-USD,107186.27566964286,105825.24713541666,98844.440625,106435.82700598202,105854.26660388708,581.5604020949395,312.1769659776977,269.3834361172418,51.06974232188733,105756.62109375,109632.36976106792,101880.87242643208,7751.497334635846,-1.1535062936840146,1.6752417773671333,2039.140625,18.37611713921543,-1250.234375
2025-07-01,105698.28125,107550.6796875,105270.2265625,107144.3828125,44110692247,BTC-USD,107136.65401785714,105826.78645833333,99102.35807291667,106322.35842813863,105842.71213322878,479.64629490984953,345.6708317641281,133.97546314572145,53.64103936212522,105607.20390625,109229.46700972696,101984.94080277304,7244.526206953917,-1.3413452013053329,1.6866033427315803,2280.453125,4.8636566291963,-1437.0546875
2025-07-02,108859.3203125,109763.65625,105157.3984375,105703.1015625,56248657737,BTC-USD,107350.66294642857,105926.04609375,99388.54131944444,106712.66025650193,106066.16459095257,646.4956655493588,405.83579852117424,240.65986702818458,61.07798847114456,105753.7171875,109656.94399885293,101850.49037614708,7806.453622705856,2.990624847553991,1.7719169107614121,4606.2578125,27.517059632691463,3161.0390625
2025-07-03,109647.9765625,110541.4609375,108605.796875,108845.015625,50494742270,BTC-USD,107734.65959821429,106066.56302083333,99675.25434027778,107164.24738050163,106331.48399625238,832.7633842492505,491.2213156667895,341.542068582461,63.38998267642856,105931.567578125,110205.99594996762,101657.13920628239,8548.856743685232,0.7244728772290987,1.7724425327742375,1935.6640625,-10.229427151672477,788.65625
2025-07-04,108034.3359375,109751.984375,107296.3828125,109635.65625,42616442656,BTC-USD,107869.7890625,106176.64140625,99947.80477430555,107298.10715850137,106457.62117708554,840.4859814158262,561.0742488165969,279.41173259922937,62.583164244493304,106059.6640625,110428.66097291608,101690.66715208392,8737.99382083217,-1.4716556343200904,1.7911954830269479,2455.6015625,-15.602217696000931,-1613.640625
2025-07-05,108231.1796875,108381.34375,107842.2734375,108015.8359375,30615537520,BTC-USD,107998.85714285714,106398.48229166666,100281.32361111112,107441.65677834731,106588.99588156068,852.6608967866341,619.3915784106043,233.2693183760298,66.66912278605906,106193.621875,110660.28255420974,101726.96119579025,8933.32135841949,0.18220480395592098,1.6906964026640903,539.0703125,-28.160269576865737,196.84375
2025-07-06,109232.0703125,109731.625,107847.015625,108231.1875,36746020463,BTC-USD,108119.78571428571,106559.87317708334,100614.62065972222,107717.1050143708,106784.77917274137,932.3258416294266,681.9784310543688,250.34741057505778,73.35766148719563,106315.3875,110979.68374205436,101651.09125794563,9328.592484108725,0.9247710575546852,1.6272685290572786,1884.609375,20.024090509582535,1000.890625
2025-07-07,108299.8515625,109710.25,107527.0546875,109235.328125,45415696597,BTC-USD,108286.14508928571,106649.34739583333,100970.48619791666,107806.7583294676,106897.00675716794,909.7515722996613,727.5330593034274,182.21851299623393,59.728037327859525,106500.32421875,111171.73165733446,101828.91678016554,9342.814877168916,-0.8534295352390808,1.625976568449363,2183.1953125,23.593510330539335,-932.21875
2025-07-08,108950.2734375,109198.96875,107499.5546875,108298.2265625,44282204127,BTC-USD,108750.71540178571,106754.56822916666,101263.55642361111,107982.68373070336,107049.10058534068,933.5831453626743,768.7430765152768,164.84006884739745,60.24676414203049,106703.671484375,111432.42558801977,101974.91738073021,9457.50820728956,0.6005750382996888,1.6285495595500898,1699.4140625,-2.4958165456717363,650.421875
2025-07-09,111326.5546875,111925.375,108357.6796875,108950.2734375,57927418065,BTC-USD,109103.17745535714,106788.98333333334,101615.78324652778,108497.12541636439,107365.94903735247,1131.1763790119148,841.2297370146044,289.9466419973104,63.014534612398364,107035.784765625,112089.23501237524,101982.33451887475,10106.900493500492,2.1810695604753683,1.4842786483762977,3567.6953125,30.81421579392467,2376.28125
2025-07-10,115987.203125,116608.78125,110660.75,111329.1953125,95911605728,BTC-USD,110008.78125,106979.98229166666,101977.80954861111,109649.44506384678,108004.5604512523,1644.8846125944838,1001.9607121305804,642.9239004639034,73.15439281042399,107669.66484375,113817.1474683736,101522.1822191264,12294.965249247209,4.1864660687494615,1.6657813873116618,5948.03125,65.57203640662557,4660.6484375
2025-07-11,117516.9921875,118856.4765625,115245.6875,115986.234375,86928361085,BTC-USD,111363.44642857143,107274.32786458333,102335.9193576389,110859.83692902421,108709.18502430768,2150.651904716535,1231.6989506477714,918.9529540687633,74.95485208308563,108432.644140625,115474.53969920681,101390.74858204318,14083.791117163637,1.3189291760499877,1.6497584573069635,3610.7890625,-9.366170626395288,1529.7890625
2025-07-12,117435.2265625,118219.8984375,116977.0234375,117530.7109375,45524560304,BTC-USD,112678.31026785714,107657.86692708333,102710.92213541667,111871.43533417434,109355.55847158119,2515.8768625931552,1488.5345330368482,1027.342329556307,74.37033342236853,109255.0484375,116475.31790522944,102034.77896977054,14440.538935458899,-0.06957770402219454,1.564069843654584,1242.875,-47.62979568948123,-81.765625
2025-07-13,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,BTC-USD,114090.31696428571,108092.03854166667,103095.07465277778,112986.00177314752,110078.56282090851,2907.438952239012,1772.3154168772812,1135.1235353617308,75.11788036258727,109931.965625,118167.73320215571,101696.19804784429,16471.535154311423,1.4313342548076147,1.5757184346470905,2184.1328125,7.680538767757805,1680.890625
